Anio,Mes,Alliance,region_norm,usuarios_activos,horas_totales,registros
2023,4,IQ Secundaria,LA VEGA,339,2107.4,595
2023,4,IQ Secundaria,MAO,33,85.7,50
2023,4,IQ Secundaria,MONTE CRISTI,202,1104.9,376
2023,4,IQ Secundaria,MONTE PLATA,181,619.8,255
2023,4,IQ Secundaria,NAGUA,139,398.4,216
2023,4,IQ Secundaria,PUERTO PLATA,197,597.2,294
2023,4,IQ Secundaria,SAN CRISTOBAL,231,827.5,342
2023,4,IQ Secundaria,SAN FRANCISCO DE MACORIS,283,1119.1,479
2023,4,IQ Secundaria,SAN JUAN DE LA MAGUANA,71,164.6,96
2023,4,IQ Secundaria,SAN PEDRO DE MACORIS,246,954.7,375
2023,4,IQ Secundaria,SANTIAGO,343,1508.5,519
2023,4,IQ Secundaria,SANTO DOMINGO,2240,11389.7,3513
